"lab_id","year","no_off","no_mates","sex","ring_no"
"WBC*1","2006",2,1,"male",NA
"WBC*10","2013",1,1,"male",NA
"WBC*11","2015",5,1,"male",NA
"WBC*11","2016",2,1,"male",NA
"WBC*12","2015",2,1,"male",NA
"WBC*13","2016",4,1,"male",NA
"WBC*14","2013",3,1,"male",NA
"WBC*15","2005",1,1,"male",NA
"WBC*17","2019",3,1,"male",NA
"WBC*2","2010",1,1,"male",NA
"WBC*3","2010",5,1,"male",NA
"WBC*4","2010",5,1,"male",NA
"WBC*4","2012",1,1,"male",NA
"WBC*5","2011",8,1,"male",NA
"WBC*6","2011",6,1,"male",NA
"WBC*7","2011",7,1,"male",NA
"WBC*8","2012",2,1,"male",NA
"WBC*8","2017",3,1,"male",NA
"WBC*9","2013",2,1,"male",NA
"mdummy4","2010",1,1,"male",NA
"mdummy6","2012",1,1,"male",NA
"mdummy8","2015",1,1,"male",NA
