"ring_no","sex","year","parent","totaloff","totalmates","epy","category","analysis","species","stage_red2","body_mass","right_tarsus","tarsus_mean_SMI","scaled_mass_index","tail_body"
"GN 52355","male","2005","CM05_110",4,1,0,"cat3","tag","black coucal","feeding",92,36.3,38.87,106.2194768,NA
"GN 52369","female","2005","CM05_119",7,3,0,"nocat","tag","black coucal","mating",174,39.4,42.48,217.0311425,176
"GN 52380","male","2005","CM05_094",3,1,0,"cat3","tag","black coucal","feeding",96,42.8,38.87,78.41299176,160
"GN 52422","female","2006","CW13_022",3,1,0,"nocat","tag","black coucal","mating",121,41.9,42.48,125.9838032,173
"GN 52431","male","2006","CW13_035",3,1,0,"cat3","tag","black coucal","feeding",97,37.9,38.87,102.2894643,169
"GN 55913","female","2010","CW13_236",11,3,0,"nocat","tag","black coucal","mating",201,44.2,42.48,178.8899696,182
"GN 55929","male","2010","CW13_246",5,1,0,"cat3","tag","black coucal","mating",97,38.4,38.87,99.5112042,150
"GN 55934","male","2010","CW13_248",5,1,0,"cat3","tag","black coucal","feeding",94,38.1,38.87,98.03578474,166
"GN 55935","female","2010","CW13_249",4,1,0,"nocat","tag","black coucal","mating",180,42.4,42.48,180.5246464,177
"GN 55941","female","2010","CW13_250",11,4,0,"nocat","tag","black coucal","mating",168,41.6,42.48,178.6491601,170
"GN 55944","male","2010","CW13_251",4,1,0,"cat3","tag","black coucal","feeding",88,37.7,38.87,93.83603428,157
"GN 55950","male","2010","CW13_252",6,1,1,"cat2","tag","black coucal","feeding",93,36.6,38.87,105.5332561,168
"GN 56758","male","2010","CW13_253",7,1,0,"cat3","tag","black coucal","feeding",89,38.3,38.87,91.80567591,160
"GN 56761","female","2010","CW13_254",5,2,0,"nocat","tag","black coucal","mating",198,41.5,42.48,212.0438564,173
"GN 56793","male","2010","CW13_259",4,1,0,"cat3","tag","black coucal","feeding",103,40,38.87,96.98159731,165
"GN 56799","female","2011","CW13_386",3,1,0,"nocat","tag","black coucal","mating",168,42.3,42.48,170.1075849,171
"GN 56809","male","2011","CW13_389",3,1,0,"cat3","tag","black coucal","mating",102,38.9,38.87,101.8347987,159
"GN 56814","female","2011","CW13_392",8,3,0,"nocat","tag","black coucal","mating",170,43,42.48,164.0345198,180
"GN 56838","male","2011","CW13_401",4,1,0,"cat3","tag","black coucal","feeding",89,37.5,38.87,95.96888809,157
"GN 56858","female","2011","CW13_403",3,1,0,"nocat","tag","black coucal","mating",148,42.2,42.48,150.9016801,170
"GN 56859","male","2011","CW13_404",3,1,0,"cat3","tag","black coucal","feeding",97,38.3,38.87,100.0578715,161
"GN 56860","female","2011","CW13_405",3,1,0,"nocat","tag","black coucal","egg_incub_feed",184,44.4,42.48,161.6036399,187
"GN 56864","male","2011","CW13_407",2,1,0,"cat3","tag","black coucal","egg-lay_incub",108,39.2,38.87,106.098655,174
"GN 56916","male","2013","CW13_600",3,1,0,"cat3","tag","black coucal","mating",91,38.3,38.87,93.86872481,168
"GN 56917","female","2013","CW13_601",3,1,0,"nocat","tag","black coucal","mating",176,42.2,42.48,179.4506466,180
"GN 56922","female","2013","CW13_604",3,1,0,"nocat","tag","black coucal","egg_incub_feed",164,42.8,42.48,160.4259641,184
"GN 56933","female","2013","CW13_609",4,1,0,"nocat","tag","black coucal","mating",174,46.6,42.48,132.5921805,182
"GN 56934","female","2013","CW13_610",2,1,0,"nocat","tag","black coucal","mating",145,42.4,42.48,145.4226318,164
"GN 56967","male","2013","CW13_617",4,1,0,"cat3","tag","black coucal","feeding",99,38.3,38.87,102.1209204,165
"GN 56969","male","2014","CW14_134",3,1,0,"cat3","tag","black coucal","egg-lay_incub",111,40.5,38.87,101.8216487,164
"GN 56970","female","2014","CW14_135",10,3,0,"nocat","tag","black coucal","egg_incub_feed",159,40.3,42.48,185.5971165,175
"GN 56972","female","2014","CW14_138",3,1,0,"nocat","tag","black coucal","mating",150,40.1,42.48,177.6679522,165
"GN 56973","female","2014","CW14_139",13,3,0,"nocat","tag","black coucal","egg_incub_feed",170,41.7,42.48,179.5060869,161
"GN 56975","female","2014","CW14_141",7,2,0,"nocat","tag","black coucal","mating",178,42.2,42.48,181.4898585,192
"GN 56976","male","2014","CW14_142",4,1,0,"cat3","tag","black coucal","egg-lay_incub",99,36.1,38.87,115.6359076,162
"GN 56977","female","2014","CW14_143",8,2,0,"nocat","tag","black coucal","mating",172,42.7,42.48,169.4111231,194
"GN 56979","female","2014","CW14_145",29,5,0,"nocat","tag","black coucal","mating",165,40.8,42.48,185.7528223,168
"GN 56980","female","2014","CW14_146",18,3,0,"nocat","tag","black coucal","egg_incub_feed",150,41.4,42.48,161.7811705,174
"GN 56981","male","2014","CW14_147",3,1,0,"cat3","tag","black coucal","egg-lay_incub",109,40.3,38.87,101.0324177,146
"GN 56984","male","2014","CW14_148",12,1,1,"cat2","tag","black coucal","feeding",105,41.1,38.87,93.3872918,163
"GN 56985","male","2014","CW14_149",8,2,1,"cat2","tag","black coucal","feeding",98,39.3,38.87,95.76073642,164
"GN 56998","male","2014","CW14_150",4,1,1,"cat2","tag","black coucal","feeding",104,38,38.87,109.0656904,163
"GN 76615","male","2014","CW14_151",10,2,1,"cat2","tag","black coucal","feeding",93,41.7,38.87,80.23377882,162
"GN 76618","male","2014","CW14_152",11,1,1,"cat2","tag","black coucal","feeding",91,39.4,38.87,88.44717785,160
"GN 76621","male","2014","CW14_153",4,1,0,"cat3","tag","black coucal","feeding",102,40.7,38.87,92.60244804,163
"GN 76636","male","2014","CW14_154",3,1,0,"cat3","tag","black coucal","feeding",94,39.4,38.87,91.36301888,159
"GN 76638","male","2014","CW14_155",7,1,1,"cat2","tag","black coucal","feeding",91,39.1,38.87,89.87898823,152
"GN 76643","female","2014","CW14_156",5,2,0,"nocat","tag","black coucal","egg_incub_feed",174,40.7,42.48,197.3012235,NA
"GN 76646","male","2014","CW14_157",5,1,0,"cat3","tag","black coucal","feeding",102,39.1,38.87,100.7434813,149
"GN 76663","male","2014","CW14_158",4,1,0,"cat3","tag","black coucal","feeding",98,36.6,38.87,111.2070871,167
"GN 76678","male","2014","CW14_159",3,1,0,"cat3","tag","black coucal","feeding",90,40,38.87,84.74120154,155
"GN 76696","female","2015","CW15_126",17,5,0,"nocat","tag","black coucal","mating",154,43.1,42.48,147.5860031,182
"GN 76697","female","2015","CW15_127",12,4,0,"nocat","tag","black coucal","mating",155,43.3,42.48,146.5389078,184
"GN 76699","female","2015","CW15_129",10,3,0,"nocat","tag","black coucal","mating",163,42.6,42.48,161.6555938,173
"GN 76701","female","2015","CW15_131",4,2,0,"nocat","tag","black coucal","mating",172,43.7,42.48,158.2794978,183
"GN 76702","female","2015","CW15_132",4,1,0,"nocat","tag","black coucal","mating",NA,45.8,42.48,NA,178
"GN 76703","female","2015","CW15_133",8,3,0,"nocat","tag","black coucal","mating",146,43.7,42.48,134.3535272,187
"GN 76705","female","2015","CW15_135",8,3,0,"nocat","tag","black coucal","mating",177,43.4,42.48,166.2084641,183
"GN 76722","female","2015","CW15_138",1,1,0,"nocat","tag","black coucal","mating",185,45,42.48,156.2030479,172
"GN 76723","male","2015","CW15_139",3,1,0,"cat3","tag","black coucal","feeding",94,39.7,38.87,89.91851973,159
"GN 76729","male","2015","CW15_140",5,1,1,"cat2","tag","black coucal","feeding",97,38.6,38.87,98.43101353,142
"GN 76744","male","2015","CW15_141",6,2,0,"cat3","tag","black coucal","feeding",101,38.4,38.87,103.614759,155
"GN 76761","male","2015","CW15_142",3,1,0,"cat3","tag","black coucal","feeding",71,36.6,38.87,80.56839982,156
"GN 76762","male","2015","CW15_143",4,2,0,"cat3","tag","black coucal","feeding",94,36.7,38.87,106.0582856,161
"GN 76766","male","2015","CW15_144",4,1,0,"cat3","tag","black coucal","feeding",100,40.3,38.87,92.69029149,174
"GN 76767","male","2015","CW15_145",4,1,0,"cat3","tag","black coucal","feeding",97,38.6,38.87,98.43101353,166
"GN 76774","male","2015","CW15_146",2,1,0,"cat3","tag","black coucal","feeding",98,35.5,38.87,118.5704466,160
"GN 76784","male","2015","CW15_147",6,2,1,"cat2","tag","black coucal","feeding",98,38.6,38.87,99.44576625,160
